score,group
0.0,training
93.6,training
96.4,validation
97.2,validation
94.2,training
93.1,training
74.1,training
22.6,testing
79.5,training
60.5,training
61.4,validation
56.6,testing
98.1,training
72.6,validation
94.1,validation
9.2,training
84.2,training
2.7,testing
57.5,training
99.1,training
67.6,training
70.4,testing
68.0,training
68.0,training
88.3,training
98.6,validation
64.8,training
88.1,training
53.2,training
63.0,testing
98.0,training
94.1,training
33.3,training
91.2,training
90.3,training
74.8,training
97.5,testing
88.0,validation
98.8,training
86.0,testing
58.3,testing
39.9,validation
69.9,training
62.4,validation
65.5,testing
93.3,training
94.4,testing
87.7,training
98.6,training
68.4,training
0.0,training
93.6,validation
96.4,training
97.2,validation
94.2,training
93.1,training
74.1,training
22.6,validation
79.5,training
60.5,training
61.4,validation
56.6,testing
98.1,training
72.6,training
94.1,training
9.2,training
84.2,training
2.7,training
57.5,training
99.1,training
67.6,testing
70.4,testing
68.0,validation
68.0,validation
88.3,training
98.6,validation
64.8,training
88.1,training
53.2,validation
63.0,validation
98.0,training
94.1,training
33.3,training
91.2,training
90.3,training
74.8,testing
97.5,training
88.0,training
98.8,validation
86.0,training
58.3,validation
39.9,validation
69.9,training
62.4,training
65.5,testing
93.3,testing
94.4,validation
87.7,training
98.6,testing
68.4,training
0.0,training
93.6,testing
96.4,validation
97.2,testing
94.2,validation
93.1,training
74.1,validation
22.6,training
79.5,training
60.5,testing
61.4,training
56.6,training
98.1,training
72.6,training
94.1,testing
9.2,training
84.2,testing
2.7,training
57.5,validation
99.1,training
67.6,training
70.4,testing
68.0,validation
68.0,training
88.3,training
98.6,training
64.8,testing
88.1,validation
53.2,validation
63.0,training
98.0,training
94.1,testing
33.3,validation
91.2,validation
90.3,testing
74.8,training
97.5,validation
88.0,training
98.8,training
86.0,training
58.3,training
39.9,training
69.9,validation
62.4,training
65.5,training
93.3,validation
94.4,validation
87.7,training
98.6,training
68.4,training
0.0,validation
93.6,training
96.4,testing
97.2,training
94.2,validation
93.1,validation
74.1,training
22.6,training
79.5,training
60.5,validation
61.4,validation
56.6,validation
98.1,training
72.6,training
94.1,training
9.2,training
84.2,training
2.7,training
57.5,training
99.1,training
67.6,training
70.4,testing
68.0,training
68.0,training
88.3,validation
98.6,training
64.8,training
88.1,validation
53.2,validation
63.0,training
98.0,training
94.1,testing
33.3,training
91.2,training
90.3,training
74.8,validation
97.5,training
88.0,training
98.8,testing
86.0,training
58.3,training
39.9,training
69.9,training
62.4,testing
65.5,training
93.3,training
94.4,validation
87.7,testing
98.6,training
68.4,training
0.0,testing
93.6,training
96.4,validation
97.2,training
94.2,testing
93.1,training
74.1,testing
22.6,validation
79.5,training
60.5,testing
61.4,training
56.6,training
98.1,training
72.6,training
94.1,training
9.2,training
84.2,testing
2.7,testing
57.5,training
99.1,training
67.6,validation
70.4,training
68.0,testing
68.0,training
88.3,training
98.6,training
64.8,validation
88.1,testing
53.2,testing
63.0,training
98.0,validation
94.1,training
33.3,training
91.2,training
90.3,validation
74.8,training
97.5,training
88.0,training
98.8,training
86.0,training
58.3,training
39.9,training
69.9,testing
62.4,training
65.5,training
93.3,testing
94.4,training
87.7,testing
98.6,validation
68.4,training
0.0,training
93.6,training
96.4,training
97.2,training
94.2,training
93.1,testing
74.1,training
22.6,training
79.5,training
60.5,testing
61.4,training
56.6,testing
98.1,validation
72.6,training
94.1,testing
9.2,validation
84.2,validation
2.7,validation
57.5,testing
99.1,testing
67.6,training
70.4,testing
68.0,training
68.0,training
88.3,training
98.6,training
64.8,training
88.1,validation
53.2,testing
63.0,training
98.0,training
94.1,training
33.3,validation
91.2,validation
90.3,validation
74.8,validation
97.5,training
88.0,testing
98.8,validation
86.0,validation
58.3,training
39.9,training
69.9,training
62.4,training
65.5,training
93.3,testing
94.4,training
87.7,training
98.6,validation
68.4,training
0.0,training
93.6,training
96.4,testing
97.2,training
94.2,validation
93.1,training
74.1,testing
22.6,testing
79.5,training
60.5,training
61.4,training
56.6,testing
98.1,training
72.6,testing
94.1,training
9.2,training
84.2,validation
2.7,training
57.5,validation
99.1,training
67.6,training
70.4,training
68.0,training
68.0,validation
88.3,testing
98.6,testing
64.8,training
88.1,validation
53.2,training
63.0,training
98.0,testing
94.1,validation
33.3,training
91.2,training
90.3,training
74.8,testing
97.5,training
88.0,training
98.8,training
86.0,training
58.3,training
39.9,testing
69.9,validation
62.4,training
65.5,validation
93.3,training
94.4,validation
87.7,training
98.6,training
68.4,testing
0.0,training
93.6,training
96.4,training
97.2,validation
94.2,training
93.1,testing
74.1,training
22.6,training
79.5,validation
60.5,validation
61.4,validation
56.6,training
98.1,training
72.6,testing
94.1,testing
9.2,training
84.2,validation
2.7,training
57.5,training
99.1,validation
67.6,validation
70.4,training
68.0,testing
68.0,training
88.3,validation
98.6,training
64.8,training
88.1,training
