score,group
96.3,training
86.0,testing
80.0,training
96.7,training
95.8,training
95.9,testing
87.1,testing
93.3,training
68.9,training
88.9,validation
75.1,training
86.8,training
95.7,testing
86.0,validation
75.9,training
75.1,validation
97.7,training
79.2,training
94.4,testing
94.4,testing
82.8,training
97.7,training
92.3,training
95.3,training
90.7,training
68.7,training
0.0,training
33.3,validation
94.5,training
84.4,training
81.0,training
66.5,training
97.6,training
95.1,testing
96.9,testing
95.3,validation
82.3,validation
16.0,training
90.6,training
97.3,training
65.4,validation
94.6,testing
97.9,training
97.6,training
94.5,validation
98.5,training
95.7,validation
98.0,training
97.0,training
25.5,training
94.8,testing
78.7,validation
85.5,training
73.0,training
86.5,training
79.9,testing
83.6,validation
84.4,training
74.4,validation
46.3,training
96.3,validation
86.0,training
80.0,validation
96.7,training
95.8,validation
95.9,validation
87.1,training
93.3,validation
68.9,testing
88.9,training
75.1,training
86.8,testing
95.7,testing
86.0,training
75.9,training
75.1,training
97.7,training
79.2,testing
94.4,validation
94.4,testing
82.8,testing
97.7,training
92.3,training
95.3,training
90.7,testing
68.7,training
0.0,validation
33.3,training
94.5,testing
84.4,validation
81.0,training
66.5,training
97.6,validation
95.1,training
96.9,training
95.3,testing
82.3,training
16.0,training
90.6,training
97.3,training
65.4,training
94.6,validation
97.9,training
97.6,testing
94.5,training
98.5,training
95.7,training
98.0,training
97.0,training
25.5,training
94.8,validation
78.7,training
85.5,training
73.0,training
86.5,training
79.9,training
83.6,training
84.4,training
74.4,training
46.3,training
96.3,training
86.0,validation
80.0,training
96.7,testing
95.8,training
95.9,validation
87.1,training
93.3,training
68.9,training
88.9,validation
75.1,testing
86.8,training
95.7,training
86.0,training
75.9,training
75.1,training
97.7,validation
79.2,testing
94.4,training
94.4,testing
82.8,training
97.7,training
92.3,testing
95.3,training
90.7,training
68.7,testing
0.0,training
33.3,training
94.5,training
84.4,training
81.0,training
66.5,training
97.6,training
95.1,testing
96.9,training
95.3,training
82.3,training
16.0,training
90.6,training
97.3,training
65.4,testing
94.6,validation
97.9,training
97.6,training
94.5,testing
98.5,training
95.7,testing
98.0,testing
97.0,training
25.5,training
94.8,validation
78.7,training
85.5,training
73.0,validation
86.5,validation
79.9,training
83.6,validation
84.4,validation
74.4,testing
46.3,training
96.3,testing
86.0,training
80.0,training
96.7,training
95.8,training
95.9,validation
87.1,training
93.3,validation
68.9,testing
88.9,training
75.1,validation
86.8,training
95.7,validation
86.0,training
75.9,training
75.1,training
97.7,training
79.2,training
94.4,training
94.4,testing
82.8,training
97.7,validation
92.3,training
95.3,training
90.7,training
68.7,training
0.0,training
33.3,training
94.5,training
84.4,testing
81.0,testing
66.5,training
97.6,testing
95.1,training
96.9,validation
95.3,testing
82.3,training
16.0,training
90.6,training
97.3,training
65.4,training
94.6,training
97.9,validation
97.6,testing
94.5,training
98.5,training
95.7,training
98.0,training
97.0,training
25.5,validation
94.8,testing
78.7,training
85.5,training
73.0,validation
86.5,training
79.9,training
83.6,testing
84.4,training
74.4,training
46.3,testing
96.3,validation
86.0,training
80.0,training
96.7,testing
95.8,testing
95.9,training
87.1,training
93.3,training
68.9,validation
88.9,training
75.1,training
86.8,validation
95.7,training
86.0,validation
75.9,training
75.1,training
97.7,training
79.2,testing
94.4,training
94.4,training
82.8,training
97.7,training
92.3,validation
95.3,validation
90.7,validation
68.7,testing
0.0,training
33.3,validation
94.5,training
84.4,training
81.0,validation
66.5,training
97.6,training
95.1,training
96.9,training
95.3,training
82.3,training
16.0,validation
90.6,training
97.3,training
65.4,validation
94.6,validation
97.9,validation
97.6,training
94.5,training
98.5,training
95.7,testing
98.0,training
97.0,testing
25.5,validation
94.8,training
78.7,testing
85.5,training
73.0,testing
86.5,testing
79.9,validation
83.6,testing
84.4,training
74.4,testing
46.3,training
96.3,training
86.0,testing
80.0,testing
96.7,training
95.8,training
95.9,validation
87.1,testing
93.3,training
68.9,training
88.9,validation
75.1,validation
86.8,training
95.7,testing
86.0,validation
75.9,training
75.1,validation
97.7,training
79.2,validation
94.4,testing
94.4,validation
82.8,validation
97.7,training
92.3,training
95.3,training
90.7,testing
68.7,training
0.0,validation
33.3,testing
94.5,training
84.4,validation
81.0,training
66.5,training
97.6,training
95.1,testing
96.9,training
95.3,training
82.3,training
16.0,training
90.6,training
97.3,training
65.4,training
94.6,training
97.9,testing
97.6,training
94.5,validation
98.5,training
95.7,testing
98.0,training
97.0,training
25.5,training
94.8,training
78.7,validation
85.5,testing
73.0,training
86.5,training
79.9,testing
83.6,validation
84.4,training
74.4,training
46.3,training
96.3,testing
86.0,training
80.0,training
96.7,training
95.8,validation
95.9,testing
87.1,training
93.3,training
68.9,training
88.9,testing
75.1,training
86.8,validation
95.7,testing
86.0,testing
75.9,testing
75.1,training
97.7,training
79.2,testing
94.4,validation
94.4,validation
82.8,validation
97.7,validation
92.3,training
95.3,training
90.7,training
68.7,testing
0.0,training
33.3,testing
94.5,testing
84.4,validation
81.0,training
66.5,training
97.6,training
95.1,training
96.9,training
95.3,validation
82.3,training
16.0,validation
90.6,validation
97.3,training
65.4,training
94.6,training
97.9,validation
97.6,training
94.5,training
98.5,training
95.7,testing
98.0,training
97.0,validation
25.5,training
94.8,testing
78.7,validation
85.5,validation
73.0,testing
86.5,training
79.9,validation
83.6,training
84.4,training
74.4,testing
46.3,training
96.3,validation
86.0,training
80.0,training
96.7,training
95.8,training
95.9,training
87.1,training
93.3,training
68.9,training
88.9,testing
75.1,training
86.8,testing
95.7,training
86.0,testing
75.9,training
75.1,training
97.7,testing
79.2,training
